"","Product","NA_Sales_sum","EU_Sales_sum","Global_Sales_sum"
"1",107,34.02,23.8,67.85
"2",123,26.64,4.01,37.16
"3",195,13,10.56,29.37
"4",231,12.92,9.03,27.06
"5",249,9.24,7.29,25.72
"6",254,21.46,2.42,29.39
"7",263,9.33,7.57,24.61
"8",283,11.5,7.54,23.8
"9",291,11.96,5.79,23.47
"10",326,22.08,0.52,23.21
"11",399,7.44,9.02,20.3
"12",405,8.04,6.21,19.2
"13",453,7.38,5.07,18.94
"14",466,7.33,6.58,18.63
"15",486,7.45,7.04,18.04
"16",504,12.28,4.05,17.89
"17",515,19.25,18.88,45.86
"18",518,8.83,1.6,19.56
"19",535,13.11,3.99,21.38
"20",577,3.9,7.59,16.58
"21",615,5.26,3.71,15.06
"22",618,8.88,2.22,14.87
"23",624,10.22,3.85,18.43
"24",629,6.9,4.52,13.27
"25",760,4.97,3.2,13
"26",811,4.57,2.69,12.56
"27",815,2.82,4.4,12.55
"28",830,5.62,4.17,12.28
"29",876,12.77,9.25,25.28
"30",930,4.83,4.13,12
"31",948,14.42,7.79,25.45
"32",977,4.24,3.32,11.77
"33",978,9.75,7.83,20.77
"34",979,11.55,9.07,24.36
"35",999,11.09,6.66,20.58
"36",1012,5.73,3.71,10.75
"37",1031,5.54,2.14,10.69
"38",1175,2.09,2.89,10.06
"39",1183,3.89,3.21,10.01
"40",1212,6.54,2.32,9.95
"41",1241,3.61,2.27,9.76
"42",1307,9.84,4.89,18.29
"43",1459,2.47,0.01,9.56
"44",1463,5.05,2.79,9.45
"45",1473,3.47,2.76,9.29
"46",1497,5.05,1.67,9.17
"47",1501,9.45,6.27,18.43
"48",1506,3.3,3.17,8.98
"49",1577,4.01,2.45,8.85
"50",1581,2.43,4,8.83
"51",1592,4.91,1.76,8.65
"52",1618,3.56,2.17,8.6
"53",1940,6.44,3.08,10.59
"54",1945,12.23,7.42,22.46
"55",1970,5.76,1.62,8.1
"56",2079,4.55,1.59,8.09
"57",2114,3,2.52,8.05
"58",2130,5.44,1.94,8
"59",2139,2.47,2.03,7.97
"60",2162,4.79,2.37,7.81
"61",2173,3.18,2.8,7.78
"62",2253,8.18,4.78,14.96
"63",2261,5.41,2.38,11.1
"64",2285,8.88,7.25,19.46
"65",2286,1.65,1.9,7.45
"66",2296,3.66,1.54,7.4
"67",2324,7.15,6.28,15.81
"68",2326,2.9,1.02,7.18
"69",2371,2.44,9.26,13.49
"70",2387,1.47,2.89,6.96
"71",2404,5.6,1.3,7.04
"72",2457,3.12,1.89,6.9
"73",2495,2.39,1.53,6.83
"74",2518,2.18,8.4,13.26
"75",2521,3.51,7.88,12.66
"76",2793,4.76,1.65,6.63
"77",2795,3.46,5.23,10.82
"78",2807,2.39,1.7,6.6
"79",2811,1.87,1.41,6.45
"80",2814,2.31,1.46,6.43
"81",2829,6.19,0.44,7.4
"82",2849,3.66,3.47,9.23
"83",2870,3,1.98,6.31
"84",2874,4.1,4,9.59
"85",2877,8.56,6.71,17.96
"86",3112,5.02,2.59,9.68
"87",3153,3.1,1.78,6.22
"88",3158,4.42,0.97,6.12
"89",3165,4.78,1.98,10.23
"90",3267,7.63,3.89,13.02
"91",3277,6.73,5.32,14.24
"92",3403,4.08,2.1,7.29
"93",3427,2.88,2.48,5.96
"94",3436,4.31,3.26,8.57
"95",3478,2.68,1.82,5.87
"96",3498,3.02,1.44,5.85
"97",3524,3.62,0.85,5.8
"98",3525,2.57,1.7,5.71
"99",3547,4.45,4.13,10.07
"100",3619,3.38,1.45,5.7
"101",3629,4.52,2.18,7.33
"102",3645,2.33,9.14,14.06
"103",3657,4.26,3.63,8.99
"104",3667,3.6,2.71,7.3
"105",3678,2.27,2.3,5.6
"106",3711,2.65,1.93,5.59
"107",3865,4.53,2.72,8.02
"108",3878,3.4,1.57,5.54
"109",3885,2.68,1.85,5.52
"110",3887,1.71,6.97,10.79
"111",3896,1.37,2.28,5.47
"112",3955,5.32,3.76,10.61
"113",3967,2.63,10.17,15.59
"114",4047,3.27,2.02,6.93
"115",4065,3.07,0.76,5.34
"116",4390,5.12,4.04,10.75
"117",4399,4.09,1.09,5.3
"118",4405,2.11,1.3,5.26
"119",4415,3.72,1.28,6.69
"120",4452,2.09,1.28,5.24
"121",4459,3.56,1.11,5.22
"122",4470,3.29,1.03,5.17
"123",4477,2.03,0.68,5.17
"124",4491,0.06,5.09,5.15
"125",4619,2.55,2.3,5.14
"126",4673,3.21,1.46,5.12
"127",4692,3.32,1.33,5.12
"128",4702,2.9,1.57,5.03
"129",4712,2.01,1.65,4.96
"130",5429,3.67,0.98,4.94
"131",5430,2.16,1.43,4.94
"132",5453,2.61,1.5,5
"133",5493,3.44,3.4,8.64
"134",5510,1.54,0,4.88
"135",5512,2.82,2.7,6.97
"136",5726,0.54,0.57,4.79
"137",5740,7.46,4.11,12.91
"138",5758,1.89,1.29,5.28
"139",6215,1.85,1.55,4.71
"140",6233,2.57,1.59,4.69
"141",6271,5.41,3.37,10.34
"142",6287,4.63,3.25,9.36
"143",6310,2.42,0.49,4.55
"144",6424,4.27,3.67,9.26
"145",6431,4.93,3.02,9.17
"146",6466,2.45,1.57,4.52
"147",6471,0.39,0.47,4.51
"148",6504,2.57,1.02,4.5
